#{"t_start": 1776778095.5306222, "env_id": "None"}
r,l,t,is_success
22.349513,600,1753.90725,False
14.072544,600,1787.757339,False
6.932586,600,1814.559949,False
1.710895,600,1841.254854,False
30.728683,600,1874.285614,False
14.029331,600,1901.140514,False
87.033247,195,1909.869553,True
-3.30921,600,1936.562162,False
31.576078,600,1970.171465,False
12.266749,600,1997.213227,False
-7.566932,600,2024.241034,False
1.917222,600,2051.343443,False
33.82112,600,2086.420415,False
61.653289,398,2105.395777,True
22.804698,600,2135.866235,False
15.680021,600,2175.713505,False
35.196908,600,2208.663635,False
80.201761,453,2233.774403,True
79.103454,475,2259.318845,True
17.644805,600,2298.927727,False
71.909397,488,2324.570031,True
70.666955,195,2334.90306,True
77.428784,389,2356.037215,True
19.516806,600,2389.415804,False
70.753419,221,2401.450049,True
77.246273,141,2420.24009,True
88.290595,382,2440.680837,True
66.880043,90,2445.717377,True
76.575464,319,2464.499624,True
69.79403,293,2480.680775,True
71.298933,189,2490.128129,True
80.174079,155,2497.91887,True
91.168592,386,2518.106731,True
64.587521,68,2521.962595,True
56.366733,86,2538.451542,True
72.419325,96,2543.430826,True
71.17722,212,2555.690408,True
68.014,91,2560.748613,True
55.78561,26,2562.193442,True
69.259082,87,2567.318713,True
61.381974,44,2569.706034,True
61.691321,228,2582.13071,True
62.648897,131,2589.321664,True
56.958935,28,2590.876089,True
79.119187,144,2598.376762,True
71.508514,89,2602.781305,True
68.22594,207,2613.775859,True
75.983249,336,2631.597389,True
77.450742,166,2640.496469,True
81.470411,241,2663.6495,True
61.510393,51,2666.167101,True
64.344918,60,2669.146475,True
80.181304,158,2676.91083,True
60.801725,150,2684.342066,True
71.542332,101,2689.644946,True
78.349125,214,2701.457247,True
70.037391,83,2706.03981,True
65.750073,84,2710.669014,True
71.920561,99,2716.170112,True
61.829828,48,2718.832104,True
72.357317,105,2724.513337,True
69.223611,69,2727.903356,True
72.287878,119,2733.642688,True
66.380607,80,2737.506161,True
78.288949,151,2745.929104,True
72.762655,172,2755.599,True
72.995373,111,2761.823883,True
70.403949,95,2777.682733,True
69.167511,93,2782.177579,True
71.815125,104,2787.178665,True
80.451471,223,2797.97339,True
60.695752,52,2800.473831,True
62.79849,115,2806.10042,True
70.400484,141,2812.916084,True
69.767622,81,2816.798718,True
63.724137,124,2822.829731,True
59.095814,39,2824.863295,True
61.817322,42,2827.233306,True
68.264301,215,2838.203199,True
63.022016,54,2840.82442,True
76.075613,236,2852.415925,True
58.332062,28,2853.776737,True
58.669116,231,2864.886914,True
62.256404,39,2866.833448,True
69.075404,92,2871.240376,True
60.371059,44,2873.35893,True
56.375324,22,2874.430692,True
79.432825,187,2894.282226,True
81.678274,169,2902.851928,True
58.283129,93,2907.368351,True
65.059611,67,2910.593664,True
62.304778,133,2917.010357,True
68.973617,88,2921.232563,True
69.558242,94,2925.805182,True
69.694487,86,2929.946468,True
68.271915,89,2934.221095,True
65.95232,93,2938.699129,True
50.209272,1,2938.761732,True
72.821216,97,2943.415432,True
91.363037,264,2956.197083,True
58.185802,24,2957.36744,True
61.985284,115,2962.945298,True
55.574607,29,2964.45079,True
63.743997,142,2971.396646,True
78.544027,308,2987.964295,True
76.225977,139,3006.761137,True
55.545881,19,3007.688597,True
55.281941,25,3008.911333,True
68.577341,88,3013.130707,True
83.198884,169,3021.309592,True
57.81648,35,3023.000873,True
59.929535,32,3024.553721,True
57.999321,35,3026.234985,True
62.650574,49,3028.575362,True
70.665435,132,3034.896302,True
61.144285,91,3039.301496,True
60.815844,40,3041.221829,True
57.372854,26,3042.475825,True
69.978614,174,3050.955348,True
68.886177,77,3054.668629,True
61.834601,52,3057.166297,True
56.488667,28,3058.517097,True
66.21906,76,3062.168652,True
71.926928,116,3067.734364,True
60.558018,108,3072.913258,True
70.085932,136,3079.796779,True
75.445014,203,3089.549467,True
67.10393,74,3093.092086,True
71.796009,113,3098.486552,True
70.011327,140,3115.066504,True
62.032796,61,3118.008837,True
64.199279,58,3120.813428,True
66.05642,52,3123.323644,True
63.521317,53,3125.856952,True
71.564646,88,3130.049331,True
69.936851,174,3138.387865,True
72.989046,117,3143.989013,True
64.676285,40,3145.905833,True
60.634411,79,3149.73999,True
59.308165,28,3151.093553,True
72.50723,124,3157.061325,True
59.372426,36,3158.795669,True
61.777054,111,3164.153465,True
61.828415,32,3165.689593,True
64.368551,56,3168.529932,True
61.699387,47,3171.053144,True
72.144664,116,3176.701555,True
72.868616,93,3181.149352,True
63.349414,56,3183.813945,True
65.676945,74,3187.409207,True
65.185662,53,3190.071427,True
62.433663,40,3192.263887,True
63.175343,44,3194.438648,True
61.780751,77,3198.153318,True
67.592129,70,3201.500439,True
63.709171,119,3207.207352,True
71.210751,133,3221.966254,True
61.479685,50,3224.426301,True
69.815003,77,3228.06823,True
65.535138,62,3231.031051,True
59.364163,43,3233.099363,True
63.705155,57,3235.830047,True
56.573193,74,3239.397106,True
61.101196,51,3241.829938,True
65.413254,58,3244.580925,True
63.356132,55,3247.193916,True
64.223717,122,3253.050034,True
55.894138,19,3253.968781,True
59.824492,54,3256.555748,True
74.012992,145,3263.513582,True
64.017311,53,3266.030926,True
63.003465,122,3271.881482,True
71.854031,100,3276.653148,True
66.697563,64,3279.692162,True
58.74632,24,3280.837971,True
66.337817,70,3284.23745,True
60.258388,111,3289.532837,True
67.0128,62,3292.475725,True
64.348982,130,3298.682693,True
68.532817,94,3303.164513,True
65.543688,59,3305.961659,True
60.015887,45,3308.110996,True
71.647068,160,3324.035887,True
59.070954,33,3325.608386,True
56.971839,31,3327.100933,True
58.882215,26,3328.342163,True
65.382557,90,3332.656515,True
67.49259,64,3335.671423,True
59.597148,82,3339.598553,True
63.316,53,3342.199654,True
64.259994,101,3347.052806,True
65.464159,42,3349.054286,True
58.884293,28,3350.388553,True
53.886737,13,3351.024938,True
66.815717,68,3354.255965,True
61.038859,35,3355.924537,True
61.400807,87,3360.078964,True
62.474829,66,3363.23523,True
56.263987,22,3364.295118,True
77.518918,203,3373.994054,True
57.502226,28,3375.335046,True
56.920863,24,3376.484175,True
65.465839,80,3380.28813,True
61.174361,92,3384.706329,True
74.650297,121,3390.50325,True
58.485439,19,3391.419697,True
