#{"t_start": 1773982596.0599632, "env_id": "None"}
r,l,t
59.430613,51,1314.483988
63.419995,29,1319.195955
57.36418,18,1322.20323
63.611471,49,1330.286888
59.090567,21,1333.835508
62.841147,27,1338.41184
60.756851,23,1342.123782
49.49017,1,1342.313639
58.307718,21,1345.850894
58.611596,20,1349.331993
49.551992,1,1349.532053
57.685279,18,1352.613953
60.331417,23,1356.515918
65.997789,36,1362.540288
61.957503,25,1366.828923
50.50939,1,1367.023207
53.931973,72,1379.198903
55.124674,13,1381.407792
52.676547,52,1399.310829
66.082209,34,1405.00875
60.590085,102,1422.125962
59.830414,23,1426.017339
55.037931,60,1436.10493
57.483139,20,1439.482044
54.260741,10,1441.189358
54.008152,8,1442.566662
60.929975,50,1450.984653
58.238193,18,1454.024997
56.86881,16,1456.751697
57.175971,65,1467.725354
59.211036,19,1470.947265
60.700307,24,1475.036566
56.969128,17,1477.92759
53.258299,8,1479.308234
61.220122,24,1483.376373
60.090389,21,1486.934782
53.550948,7,1488.140054
62.61112,26,1492.561018
61.884322,40,1499.42606
59.145335,21,1503.072811
62.295546,25,1507.404099
58.689577,19,1510.733497
54.524335,11,1512.67631
64.277013,30,1517.89263
52.67443,22,1521.735576
53.993553,9,1523.320309
50.519394,35,1529.394738
59.2467,19,1532.720447
54.537251,12,1534.812017
63.279891,31,1540.181781
59.119099,18,1543.328459
61.575044,22,1547.161659
62.417314,26,1551.712749
59.608162,22,1555.537464
61.050053,59,1565.793553
58.880399,61,1576.378179
53.14486,7,1577.617381
63.125735,29,1582.687421
56.08352,12,1584.797557
57.415452,18,1587.939144
56.748542,13,1590.221918
59.764547,20,1593.699256
62.167406,83,1608.126115
61.29167,24,1612.137719
61.365751,23,1616.176783
58.928428,65,1627.480567
57.651039,77,1640.86238
53.834725,11,1642.801478
56.482677,64,1653.940427
63.038512,27,1658.651941
61.281953,23,1662.677277
57.992813,17,1665.651194
55.198293,10,1667.407326
60.65006,27,1672.096316
62.023717,48,1680.424103
61.769592,24,1684.621382
57.994213,17,1687.601197
58.991944,19,1690.918052
59.362014,22,1694.780162
60.32583,23,1698.555371
55.468931,13,1700.813038
57.224067,119,1721.291142
63.773994,28,1726.103482
61.256484,22,1729.86254
58.926404,17,1732.735337
55.337665,11,1734.61882
54.774286,10,1736.338249
61.466863,23,1740.251987
60.030485,21,1743.837261
61.461361,24,1758.174504
55.25956,13,1760.515538
57.138374,17,1763.498004
55.660545,62,1774.228009
57.352673,61,1784.573318
60.091638,20,1787.955578
60.279851,23,1791.684331
60.169241,34,1797.488551
55.785084,15,1800.097133
62.194032,25,1804.449941
57.560185,62,1815.162805
54.281616,11,1817.0641
58.868141,20,1820.558606
63.534422,66,1831.816879
55.745349,12,1833.937864
62.477515,26,1838.421116
55.484528,44,1846.098508
59.129025,20,1849.546141
57.585364,15,1852.086116
58.47722,16,1854.809826
59.582638,19,1858.031025
57.565047,15,1860.592601
58.592333,18,1863.616276
60.500094,21,1867.196026
58.455095,18,1870.22924
63.950973,118,1890.211623
62.742664,75,1902.906069
64.08754,31,1908.154069
57.678986,20,1911.512814
56.784079,60,1921.611078
58.659323,19,1924.841979
59.692049,21,1928.213014
66.982189,69,1939.925104
57.676951,20,1943.352511
63.388227,29,1948.302492
55.240447,14,1950.67191
56.334656,13,1952.87324
61.273392,71,1965.100195
59.22946,34,1970.781188
62.505032,59,1980.661309
61.022691,25,1984.881852
59.005226,21,1988.418412
61.937029,23,1992.264175
59.364297,20,1995.626512
59.54562,21,1999.058894
61.350735,25,2003.271856
58.348179,24,2007.292929
59.496953,75,2019.829658
